Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,100n,C38141
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112",0805,12,10n,
D1,0805,1,LED,C391863
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole,
J1,JST_PH_B8B-PH-SM4-TB_1x08-1MP_P2.00mm_Vertical,1,Conn_01x06_Socket,
Q101,SOT-523,1,DMG1012T,C20512
R101,0805,1,1k,C17513
"R102, R106, R108, R110, R112, R114, R116, R118, R120, R122, R124, R126",0805,12,100,
"R103, R104",0805,2,10k,
"R105, R107, R109, R111, R113, R115, R117, R119, R121, R123, R125, R127",0805,12,220,
"U1, U101, U102, U103, U104, U105, U106, U107, U108, U109, U110, U111",ITR8307_S18_TR8_B,12,ITR8307,C115037
U11,TSSOP-24_4.4x7.8mm_P0.65mm,1,74HC4067PW,C179326
