Designator,Mid X,Mid Y,Rotation,Layer
C1,153.797,-60.833,0.0,top
C2,103.3995,-52.451,0.0,top
C3,182.8585,-53.34,180.0,top
C4,160.0375,-52.543,180.0,bottom
D1,161.1805,-55.591,270.0,bottom
J1,142.621,-56.142,180.0,bottom
Q101,155.0,-56.955,270.0,bottom
R1,181.5,-44.3465,270.0,top
R10,158.1,-48.006,270.0,top
R101,154.8,-53.8,270.0,bottom
R11,142.5,-44.3465,270.0,top
R12,150.3,-48.006,270.0,top
R13,134.7,-44.3465,270.0,top
R14,142.5,-48.006,270.0,top
R15,126.9,-44.3465,270.0,top
R16,134.7,-48.006,270.0,top
R17,119.1,-44.3465,270.0,top
R18,126.9,-48.006,270.0,top
R19,111.3,-44.3465,270.0,top
R2,186.309,-51.816,90.0,top
R20,119.1,-48.006,270.0,top
R21,144.907,-62.992,180.0,top
R22,103.5,-44.3465,270.0,top
R23,111.3,-48.006,270.0,top
R24,99.5895,-52.451,0.0,top
R25,103.5,-48.006,270.0,top
R26,159.0215,-55.591,270.0,bottom
R3,173.7,-44.3465,270.0,top
R4,181.5,-48.006,270.0,top
R5,165.9,-44.3465,270.0,top
R6,173.7,-48.006,270.0,top
R7,158.1,-44.3465,270.0,top
R8,165.9,-48.006,270.0,top
R9,150.3,-44.3465,270.0,top
U1,185.4,-46.25,0.0,top
U10,115.2,-46.25,0.0,top
U11,146.01,-57.955,270.0,top
U12,107.4,-46.25,0.0,top
U13,99.6,-46.25,0.0,top
U2,177.6,-46.25,0.0,top
U3,169.8,-46.25,0.0,top
U4,162.0,-46.25,0.0,top
U5,154.2,-46.25,0.0,top
U6,146.4,-46.25,0.0,top
U7,138.6,-46.25,0.0,top
U8,130.8,-46.25,0.0,top
U9,123.0,-46.25,0.0,top
