Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rpgood,Yageo,RC0201FR-07105KL,1,0.01,2.08,Resistance: 105 kΩ  Tolerance: 1.0%  Power: 50 mW  
Cbst,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
Cin,MuRata,GRM32ER71J106KA12L,2,0.3,14.7,Cap: 10 µF  Total Derated Cap: 15 µF  VDC: 63 V  ESR: 1 mΩ  Package: 1210_280  
Cout,TDK,C2012X7S1A226M125AC,2,0.26,6.75,Cap: 22 µF  Total Derated Cap: 18 µF  VDC: 10 V  ESR: 1 mΩ  Package: 0805  
Creg,Taiyo Yuden,TMK212BJ474KD-T,1,0.02,6.75,Cap: 470 nF  Total Derated Cap: 470 nF  VDC: 20 V  ESR: 1 mΩ  Package: 0805  
L1,Vishay-Dale,IHLP3232DZER3R3M01,1,0.71,111.83,L: 3.3 µH  DCR: 17.7 mΩ  IDC: 9.2 A  
Ren,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rfbb,Vishay-Dale,CRCW040249K9FKED,1,0.01,3,Resistance: 49.9 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbt,Yageo,RC0201FR-07365KL,1,0.01,2.08,Resistance: 365 kΩ  Tolerance: 1.0%  Power: 50 mW  
U1,Texas Instruments,TPS56528DDAR,1,0.44,55.2,
Cff,MuRata,GRM1555C1E5R1CA01D,1,0.01,3,Cap: 5.1 pF  Total Derated Cap: 5.1 pF  VDC: 25 V  ESR: 1 mΩ  Package: 0402  
