"Reference","Value","Qty","DNP","LCSC"
"C101,C108","10uF","2","","C163225"
"C102,C103,C104,C105,C109,C110","0.1uF","6","","C38141"
"C106","2.2nF","1","","C36576"
"C112","100nF","1","","C38141"
"H101,H102,H103,H104","MountingHole","4","",""
"J101,J102","Conn_01x06_Socket","2","","C265088"
"J103,J108","Conn_01x03_Socket","2","","C160353"
"J104,J105","Conn_01x02_Socket","2","","C160352"
"J106","Conn_01x07_Socket","1","","C495700"
"J107","Conn_01x04_Socket","1","",""
"J109,J110","Conn_02x10_Odd_Even","2","",""
"JP101","SolderJumper_3_Bridged12","1","",""
"R102","330","1","","C17630"
"R103","1k","1","","C17513"
"U101,U103","TB6612FNG","2","","C88224"
"U102","MPU-6050","1","","C24112"
"U104","74LVC1G126","1","","C7834"
